#seq1	seq2	N_differences	%_differences
IGHV3-15	IGHV4-28	70	70
IGHV3-15	IGHV1/OR21-1	70	70
IGHV3-15	IGHV6-1	73	72
IGHV3-15	IGHV3-53	51	51
IGHV3-15	IGHV3-52	60	60
IGHV3-15	IGHV3-54	65	65
IGHV3-15	IGHV1-F	67	67
IGHV3-15	IGHV2-5	80	79
IGHV3-15	IGHV4-55	65	65
IGHV3-15	IGHV1-45	67	67
IGHV3-15	IGHV1-46	64	64
IGHV3-15	IGHV4-59	66	66
IGHV3-15	IGHV3-25	59	59
IGHV3-15	IGHV3-20	54	54
IGHV3-15	IGHV3-21	51	51
IGHV3-15	IGHV3-22	48	48
IGHV3-15	IGHV3-23	53	53
IGHV3-15	IGHV5-A	62	62
IGHV3-15	IGHV7-34-1	71	71
IGHV3-15	IGHV1-58	67	67
IGHV3-15	IGHV5-51	65	65
IGHV3-15	IGHV3-69-1	48	48
IGHV3-15	IGHV3/OR16-10	53	53
IGHV3-15	IGHV3/OR16-13	51	51
IGHV3-15	IGHV3/OR16-12	60	60
IGHV3-15	IGHV3-35	54	54
IGHV3-15	IGHV3-33	56	56
IGHV3-15	IGHV3-30	56	56
IGHV3-15	IGHV2-26	78	78
IGHV3-15	IGHV3-38	53	53
IGHV3-15	IGHV5-10-1	62	62
IGHV3-15	IGHV3-64D	54	54
IGHV3-15	IGHV1-68	72	72
IGHV3-15	IGHV1-69	63	63
IGHV3-15	IGHV3-38-3	53	53
IGHV3-15	IGHV1/OR15-1	64	64
IGHV3-15	IGHV1/OR15-5	63	63
IGHV3-15	IGHV1/OR15-9	69	69
IGHV3-15	IGHV2-10	79	78
IGHV3-15	IGHV4-61	76	76
IGHV3-15	IGHV2/OR16-5	79	79
IGHV3-15	IGHV3-43D	57	57
IGHV3-15	IGHV4-30-2	75	75
IGHV1-3	IGHV1-18	14	14
IGHV1-3	IGHV3-11	47	47
IGHV1-3	IGHV3-13	64	65
IGHV1-3	IGHV3-33-2	80	81
IGHV1-3	IGHV3-H	64	65
IGHV1-3	IGHV3-7	47	47
IGHV1-3	IGHV3-9	47	47
IGHV1-3	IGHV3-30-3	40	40
IGHV1-3	IGHV1-24	21	21
IGHV1-3	IGHV3-16	56	57
IGHV1-3	IGHV1-NL1	58	59
IGHV1-3	IGHV4-30-4	72	72
IGHV1-3	IGHV2-70	76	76
IGHV1-3	IGHV3-D	65	66
IGHV1-3	IGHV2-70D	76	76
IGHV1-3	IGHV3-62	66	67
IGHV1-3	IGHV3-64	43	43
IGHV1-3	IGHV3-66	66	67
IGHV1-3	IGHV7-4-1	24	24
IGHV1-3	IGHV5-78	37	37
IGHV1-3	IGHV4-B	62	63
IGHV1-3	IGHV7-81	29	29
IGHV1-3	IGHV3/OR15-7	67	67
IGHV1-3	IGHV3/OR16-9	50	51
IGHV1-3	IGHV3/OR16-8	48	48
IGHV1-3	IGHV3-73	64	64
IGHV1-3	IGHV3-72	67	67
IGHV1-3	IGHV3-71	67	67
IGHV1-3	IGHV3/OR16-6	70	70
IGHV1-3	IGHV3-74	44	44
IGHV1-3	IGHV1-8	14	14
IGHV1-3	IGHV1-38-4	28	28
IGHV1-3	IGHV1-2	15	15
IGHV1-3	IGHV4-39	71	71
IGHV1-3	IGHV4-34	71	72
IGHV1-3	IGHV4-38-2	62	63
IGHV1-3	IGHV4-31	74	74
IGHV1-3	IGHV4/OR15-8	65	66
IGHV1-3	IGHV3-48	47	47
IGHV1-3	IGHV3-49	65	65
IGHV1-3	IGHV3-47	65	66
IGHV1-3	IGHV1-C	28	28
IGHV1-3	IGHV3-43	45	45
IGHV1-3	IGHV1-69-2	23	23
IGHV1-3	IGHV3-NL1	41	41
IGHV1-3	IGHV4-28	63	64
IGHV1-3	IGHV1/OR21-1	20	20
IGHV1-3	IGHV6-1	77	76
IGHV1-3	IGHV3-53	66	67
IGHV1-3	IGHV3-52	57	58
IGHV1-3	IGHV3-54	75	76
IGHV1-3	IGHV1-F	23	23
IGHV1-3	IGHV2-5	76	76
IGHV1-3	IGHV4-55	72	73
IGHV1-3	IGHV1-45	17	17
IGHV1-3	IGHV1-46	12	12
IGHV1-3	IGHV4-59	72	73
IGHV1-3	IGHV3-25	68	69
IGHV1-3	IGHV3-20	46	46
IGHV1-3	IGHV3-21	46	46
IGHV1-3	IGHV3-22	69	69
IGHV1-3	IGHV3-23	44	44
IGHV1-3	IGHV5-A	35	35
IGHV1-3	IGHV7-34-1	59	60
IGHV1-3	IGHV1-58	18	18
IGHV1-3	IGHV5-51	33	33
IGHV1-3	IGHV3-69-1	64	65
IGHV1-3	IGHV3/OR16-10	60	61
IGHV1-3	IGHV3/OR16-13	47	47
IGHV1-3	IGHV3/OR16-12	50	51
IGHV1-3	IGHV3-35	50	51
IGHV1-3	IGHV3-33	41	41
IGHV1-3	IGHV3-30	40	40
IGHV1-3	IGHV2-26	77	77
IGHV1-3	IGHV3-38	67	68
IGHV1-3	IGHV5-10-1	35	35
IGHV1-3	IGHV3-64D	43	43
IGHV1-3	IGHV1-68	23	23
IGHV1-3	IGHV1-69	18	18
IGHV1-3	IGHV3-38-3	65	66
IGHV1-3	IGHV1/OR15-1	16	16
IGHV1-3	IGHV1/OR15-5	19	19
IGHV1-3	IGHV1/OR15-9	21	21
IGHV1-3	IGHV2-10	79	79
IGHV1-3	IGHV4-61	72	72
IGHV1-3	IGHV2/OR16-5	76	76
IGHV1-3	IGHV3-43D	44	44
IGHV1-3	IGHV4-30-2	73	73
IGHV1-18	IGHV3-11	47	47
IGHV1-18	IGHV3-13	65	66
IGHV1-18	IGHV3-33-2	76	77
IGHV1-18	IGHV3-H	63	64
IGHV1-18	IGHV3-7	49	50
IGHV1-18	IGHV3-9	50	50
IGHV1-18	IGHV3-30-3	43	43
IGHV1-18	IGHV1-24	22	22
IGHV1-18	IGHV3-16	58	59
IGHV1-18	IGHV1-NL1	61	62
IGHV1-18	IGHV4-30-4	72	72
IGHV1-18	IGHV2-70	77	77
IGHV1-18	IGHV3-D	64	65
IGHV1-18	IGHV2-70D	77	77
IGHV1-18	IGHV3-62	70	71
IGHV1-18	IGHV3-64	46	46
IGHV1-18	IGHV3-66	66	67
IGHV1-18	IGHV7-4-1	27	27
IGHV1-18	IGHV5-78	42	42
IGHV1-18	IGHV4-B	63	64
IGHV1-18	IGHV7-81	31	31
IGHV1-18	IGHV3/OR15-7	66	66
IGHV1-18	IGHV3/OR16-9	48	48
IGHV1-18	IGHV3/OR16-8	47	47
IGHV1-18	IGHV3-73	65	65
IGHV1-18	IGHV3-72	67	67
IGHV1-18	IGHV3-71	66	66
IGHV1-18	IGHV3/OR16-6	69	69
IGHV1-18	IGHV3-74	48	48
IGHV1-18	IGHV1-8	15	15
IGHV1-18	IGHV1-38-4	29	29
IGHV1-18	IGHV1-2	17	17
IGHV1-18	IGHV4-39	71	71
IGHV1-18	IGHV4-34	70	71
IGHV1-18	IGHV4-38-2	63	64
IGHV1-18	IGHV4-31	78	78
IGHV1-18	IGHV4/OR15-8	65	66
IGHV1-18	IGHV3-48	48	48
IGHV1-18	IGHV3-49	65	65
IGHV1-18	IGHV3-47	67	68
IGHV1-18	IGHV1-C	29	29
IGHV1-18	IGHV3-43	47	47
IGHV1-18	IGHV1-69-2	26	26
IGHV1-18	IGHV3-NL1	44	44
IGHV1-18	IGHV4-28	61	62
IGHV1-18	IGHV1/OR21-1	25	25
IGHV1-18	IGHV6-1	82	81
IGHV1-18	IGHV3-53	66	67
IGHV1-18	IGHV3-52	61	62
IGHV1-18	IGHV3-54	75	76
IGHV1-18	IGHV1-F	26	26
IGHV1-18	IGHV2-5	77	77
IGHV1-18	IGHV4-55	71	72
IGHV1-18	IGHV1-45	21	21
IGHV1-18	IGHV1-46	15	15
IGHV1-18	IGHV4-59	70	71
IGHV1-18	IGHV3-25	69	70
IGHV1-18	IGHV3-20	47	47
IGHV1-18	IGHV3-21	47	47
IGHV1-18	IGHV3-22	68	68
IGHV1-18	IGHV3-23	45	45
IGHV1-18	IGHV5-A	35	35
IGHV1-18	IGHV7-34-1	60	61
IGHV1-18	IGHV1-58	23	23
IGHV1-18	IGHV5-51	36	36
IGHV1-18	IGHV3-69-1	63	64
IGHV1-18	IGHV3/OR16-10	63	64
IGHV1-18	IGHV3/OR16-13	51	52
IGHV1-18	IGHV3/OR16-12	47	47
IGHV1-18	IGHV3-35	51	52
IGHV1-18	IGHV3-33	43	43
IGHV1-18	IGHV3-30	43	43
IGHV1-18	IGHV2-26	78	78
IGHV1-18	IGHV3-38	66	67
IGHV1-18	IGHV5-10-1	35	35
IGHV1-18	IGHV3-64D	47	47
IGHV1-18	IGHV1-68	25	25
IGHV1-18	IGHV1-69	17	17
IGHV1-18	IGHV3-38-3	64	65
IGHV1-18	IGHV1/OR15-1	20	20
IGHV1-18	IGHV1/OR15-5	24	24
IGHV1-18	IGHV1/OR15-9	26	26
IGHV1-18	IGHV2-10	79	79
IGHV1-18	IGHV4-61	71	71
IGHV1-18	IGHV2/OR16-5	77	77
IGHV1-18	IGHV3-43D	47	47
IGHV1-18	IGHV4-30-2	77	77
IGHV3-11	IGHV3-13	16	16
IGHV3-11	IGHV3-33-2	59	60
IGHV3-11	IGHV3-H	4	4
IGHV3-11	IGHV3-7	13	13
IGHV3-11	IGHV3-9	16	16
IGHV3-11	IGHV3-30-3	15	15
IGHV3-11	IGHV1-24	51	52
IGHV3-11	IGHV3-16	25	25
IGHV3-11	IGHV1-NL1	75	76
IGHV3-11	IGHV4-30-4	68	68
IGHV3-11	IGHV2-70	76	76
IGHV3-11	IGHV3-D	53	54
IGHV3-11	IGHV2-70D	77	77
IGHV3-11	IGHV3-62	54	55
IGHV3-11	IGHV3-64	17	17
IGHV3-11	IGHV3-66	11	11
IGHV3-11	IGHV7-4-1	43	43
IGHV3-11	IGHV5-78	53	54
IGHV3-11	IGHV4-B	54	55
IGHV3-11	IGHV7-81	50	51
IGHV3-11	IGHV3/OR15-7	55	55
IGHV3-11	IGHV3/OR16-9	15	15
IGHV3-11	IGHV3/OR16-8	16	16
IGHV3-11	IGHV3-73	56	56
IGHV3-11	IGHV3-72	54	54
IGHV3-11	IGHV3-71	50	50
IGHV3-11	IGHV3/OR16-6	58	58
IGHV3-11	IGHV3-74	14	14
IGHV3-11	IGHV1-8	50	51
IGHV3-11	IGHV1-38-4	54	55
IGHV3-11	IGHV1-2	48	48
IGHV3-11	IGHV4-39	70	70
IGHV3-11	IGHV4-34	59	60
IGHV3-11	IGHV4-38-2	54	55
IGHV3-11	IGHV4-31	69	69
IGHV3-11	IGHV4/OR15-8	57	58
IGHV3-11	IGHV3-48	7	7
IGHV3-11	IGHV3-49	55	55
IGHV3-11	IGHV3-47	53	54
IGHV3-11	IGHV1-C	54	55
IGHV3-11	IGHV3-43	18	18
IGHV3-11	IGHV1-69-2	49	50
IGHV3-11	IGHV3-NL1	14	14
IGHV3-11	IGHV4-28	56	57
IGHV3-11	IGHV1/OR21-1	53	54
IGHV3-11	IGHV6-1	69	68
IGHV3-11	IGHV3-53	12	12
IGHV3-11	IGHV3-52	28	28
IGHV3-11	IGHV3-54	57	58
IGHV3-11	IGHV1-F	49	50
IGHV3-11	IGHV2-5	81	81
IGHV3-11	IGHV4-55	60	61
IGHV3-11	IGHV1-45	51	52
IGHV3-11	IGHV1-46	43	43
IGHV3-11	IGHV4-59	56	57
IGHV3-11	IGHV3-25	57	58
IGHV3-11	IGHV3-20	16	16
IGHV3-11	IGHV3-21	8	8
IGHV3-11	IGHV3-22	54	54
IGHV3-11	IGHV3-23	14	14
IGHV3-11	IGHV5-A	45	45
IGHV3-11	IGHV7-34-1	75	76
IGHV3-11	IGHV1-58	51	52
IGHV3-11	IGHV5-51	48	48
IGHV3-11	IGHV3-69-1	4	4
IGHV3-11	IGHV3/OR16-10	14	14
IGHV3-11	IGHV3/OR16-13	18	18
IGHV3-11	IGHV3/OR16-12	20	20
IGHV3-11	IGHV3-35	21	21
IGHV3-11	IGHV3-33	16	16
IGHV3-11	IGHV3-30	15	15
IGHV3-11	IGHV2-26	81	81
IGHV3-11	IGHV3-38	52	53
IGHV3-11	IGHV5-10-1	45	45
IGHV3-11	IGHV3-64D	18	18
IGHV3-11	IGHV1-68	53	54
IGHV3-11	IGHV1-69	44	44
IGHV3-11	IGHV3-38-3	53	54
IGHV3-11	IGHV1/OR15-1	48	48
IGHV3-11	IGHV1/OR15-5	47	47
IGHV3-11	IGHV1/OR15-9	50	51
IGHV3-11	IGHV2-10	75	76
IGHV3-11	IGHV4-61	69	69
IGHV3-11	IGHV2/OR16-5	79	79
IGHV3-11	IGHV3-43D	17	17
IGHV3-11	IGHV4-30-2	69	69
IGHV3-13	IGHV3-33-2	53	54
IGHV3-13	IGHV3-H	16	16
IGHV3-13	IGHV3-7	48	48
IGHV3-13	IGHV3-9	51	51
IGHV3-13	IGHV3-30-3	50	51
IGHV3-13	IGHV1-24	67	68
IGHV3-13	IGHV3-16	49	50
IGHV3-13	IGHV1-NL1	74	76
IGHV3-13	IGHV4-30-4	58	58
IGHV3-13	IGHV2-70	65	65
IGHV3-13	IGHV3-D	51	52
IGHV3-13	IGHV2-70D	66	66
IGHV3-13	IGHV3-62	28	28
IGHV3-13	IGHV3-64	46	46
IGHV3-13	IGHV3-66	16	16
IGHV3-13	IGHV7-4-1	63	64
IGHV3-13	IGHV5-78	65	66
IGHV3-13	IGHV4-B	60	61
IGHV3-13	IGHV7-81	66	67
IGHV3-13	IGHV3/OR15-7	51	51
IGHV3-13	IGHV3/OR16-9	53	54
IGHV3-13	IGHV3/OR16-8	51	52
IGHV3-13	IGHV3-73	50	50
IGHV3-13	IGHV3-72	51	51
IGHV3-13	IGHV3-71	52	52
IGHV3-13	IGHV3/OR16-6	57	57
IGHV3-13	IGHV3-74	48	48
IGHV3-13	IGHV1-8	63	64
IGHV3-13	IGHV1-38-4	70	71
IGHV3-13	IGHV1-2	61	62
IGHV3-13	IGHV4-39	56	56
IGHV3-13	IGHV4-34	49	50
IGHV3-13	IGHV4-38-2	60	61
IGHV3-13	IGHV4-31	59	59
IGHV3-13	IGHV4/OR15-8	60	61
IGHV3-13	IGHV3-48	13	13
IGHV3-13	IGHV3-49	54	54
IGHV3-13	IGHV3-47	17	17
IGHV3-13	IGHV1-C	70	71
IGHV3-13	IGHV3-43	50	50
IGHV3-13	IGHV1-69-2	67	68
IGHV3-13	IGHV3-NL1	48	48
IGHV3-13	IGHV4-28	61	62
IGHV3-13	IGHV1/OR21-1	68	69
IGHV3-13	IGHV6-1	73	72
IGHV3-13	IGHV3-53	17	17
IGHV3-13	IGHV3-52	53	54
IGHV3-13	IGHV3-54	61	62
IGHV3-13	IGHV1-F	67	68
IGHV3-13	IGHV2-5	68	68
IGHV3-13	IGHV4-55	44	45
IGHV3-13	IGHV1-45	69	70
IGHV3-13	IGHV1-46	62	63
IGHV3-13	IGHV4-59	46	47
IGHV3-13	IGHV3-25	37	38
IGHV3-13	IGHV3-20	52	53
IGHV3-13	IGHV3-21	15	15
IGHV3-13	IGHV3-22	55	55
IGHV3-13	IGHV3-23	47	47
IGHV3-13	IGHV5-A	64	65
IGHV3-13	IGHV7-34-1	70	72
IGHV3-13	IGHV1-58	67	68
IGHV3-13	IGHV5-51	65	66
IGHV3-13	IGHV3-69-1	16	16
IGHV3-13	IGHV3/OR16-10	12	12
IGHV3-13	IGHV3/OR16-13	48	48
IGHV3-13	IGHV3/OR16-12	58	59
IGHV3-13	IGHV3-35	50	51
IGHV3-13	IGHV3-33	50	51
IGHV3-13	IGHV3-30	50	51
IGHV3-13	IGHV2-26	69	69
IGHV3-13	IGHV3-38	49	50
IGHV3-13	IGHV5-10-1	64	65
IGHV3-13	IGHV3-64D	46	46
IGHV3-13	IGHV1-68	72	73
IGHV3-13	IGHV1-69	63	64
IGHV3-13	IGHV3-38-3	51	52
IGHV3-13	IGHV1/OR15-1	67	68
IGHV3-13	IGHV1/OR15-5	61	62
IGHV3-13	IGHV1/OR15-9	67	68
IGHV3-13	IGHV2-10	63	64
IGHV3-13	IGHV4-61	58	58
IGHV3-13	IGHV2/OR16-5	69	69
IGHV3-13	IGHV3-43D	50	50
IGHV3-13	IGHV4-30-2	57	57
IGHV3-33-2	IGHV3-H	49	50
IGHV3-33-2	IGHV3-7	60	61
IGHV3-33-2	IGHV3-9	62	62
IGHV3-33-2	IGHV3-30-3	61	62
IGHV3-33-2	IGHV1-24	79	80
IGHV3-33-2	IGHV3-16	68	69
IGHV3-33-2	IGHV1-NL1	72	75
IGHV3-33-2	IGHV4-30-4	67	67
IGHV3-33-2	IGHV2-70	70	70
IGHV3-33-2	IGHV3-D	45	46
IGHV3-33-2	IGHV2-70D	70	70
IGHV3-33-2	IGHV3-62	54	55
IGHV3-33-2	IGHV3-64	65	66
IGHV3-33-2	IGHV3-66	50	51
IGHV3-33-2	IGHV7-4-1	76	77
IGHV3-33-2	IGHV5-78	79	80
IGHV3-33-2	IGHV4-B	67	68
IGHV3-33-2	IGHV7-81	80	81
IGHV3-33-2	IGHV3/OR15-7	72	72
IGHV3-33-2	IGHV3/OR16-9	62	63
IGHV3-33-2	IGHV3/OR16-8	62	63
IGHV3-33-2	IGHV3-73	69	69
IGHV3-33-2	IGHV3-72	68	68
IGHV3-33-2	IGHV3-71	70	70
IGHV3-33-2	IGHV3/OR16-6	68	68
IGHV3-33-2	IGHV3-74	60	61
IGHV3-33-2	IGHV1-8	81	82
IGHV3-33-2	IGHV1-38-4	79	80
IGHV3-33-2	IGHV1-2	77	78
IGHV3-33-2	IGHV4-39	68	68
IGHV3-33-2	IGHV4-34	69	71
IGHV3-33-2	IGHV4-38-2	67	68
IGHV3-33-2	IGHV4-31	67	67
IGHV3-33-2	IGHV4/OR15-8	65	66
IGHV3-33-2	IGHV3-48	59	60
IGHV3-33-2	IGHV3-49	68	68
IGHV3-33-2	IGHV3-47	57	58
IGHV3-33-2	IGHV1-C	79	80
IGHV3-33-2	IGHV3-43	64	64
IGHV3-33-2	IGHV1-69-2	76	77
IGHV3-33-2	IGHV3-NL1	62	63
IGHV3-33-2	IGHV4-28	68	69
IGHV3-33-2	IGHV1/OR21-1	81	82
IGHV3-33-2	IGHV6-1	73	72
IGHV3-33-2	IGHV3-53	50	51
IGHV3-33-2	IGHV3-52	61	62
